0.4880952380952381 	Hy is sy lewe lank al gelowig.	PDHENP VTHOK PDHEB NSE BS BS VTHOG ZE ZPR
0.6925925925925926 	 ÒSonder my geloof sou ek nie al die struikelblokke op my pad kon oorkom nieÓ.	SVS PEEB NSE VVUOM PEENP BS BS LB NSM SVS PEEB NSE VVUOM VTHOG UPO ZPR
0.5892857142857143 	Pa Jan vertel toe Jannie so sewe jaar oud was, het die gesin in _ woonwapark op Orkney gewoon, en hy moes elke dag sowat 18 m stap na die Vaal Reefs-myn, waar hy ondergronds gewerk het.	 NEE NEE VVHOG PB BS UPV THAB NSE ASP VVHOK ZM VUOT LB NSE SVS LO NSE SVS NEE VTHOO ZM KN PDHENP VVUOM PO NSE BS RS ASA NSE SVS LB NEE NEE ZM PB PDHENP NSE VVHOO VUOT ZE
0.5538194444444444 	Hy was sopnat gere‘n , moeg en ge•rriteerd toe hy weer een aand by die huis kom.	 PDHENP VVHOK ASA NA ZM NA KN NA PB PDHENP BS THAB NSE SVS LB NSE VTHOO ZE
0.5655555555555556 	Hy het sy gewone drankie geskink, maar hom vererg toe hy hoor Jannie en sy broer lê en gesels nog in hul beddens, pleks van slaap.	 PDHENP VUOT PDVENP ASA NSED VTHOG ZM KN PDHEDP VTHOG PB PDHENP SVS NEE KN PDHEB NSE NSM KN NSM BS SVS PDMB NSM ZM NSM SVS NA ZE
0.667483660130719 	Toe hy wou gaan raas, hoor hy Jannie bid: ÒLiewe Jesus, ek weet dis al laat, maar asseblief kan U vir pappa _ kar gee waarmee hy werk toe kan ry en ons kerk toe kan vat?Ó	 PB PDHENP VVUOM VTHOO NSM ZM PB PDHENP NSE BS ZM ZPL NEE NEE ZM PEENP VTHOO BS BS VTHOG ZM KN BS VTUOM PTENP SVS NSE LO NSE VTHOG PB PDHENP VTHOO UPW VTUOM VTHOO KN PEMP BS PB VTUOM VTHOG ZE ZPR
0.6658950617283952 	Toe Jan die volgende middag op pad werk toe soos altyd verby _ duikkloppery stap, roep die eienaar hom nader en se hy kan dit nie meer verduur om hom elke dag so te sien stap nie.	 PB NEE LB ASA NSE SVS NSE VTHOO PB UPV BS ASP LO NSE NSE ZM VTHOG LB NSE PDHEW VTHOG KN UPS PDHENP VTUOM PDOENP BS THBO VTHOG SVS PDHEDP ASA NSE UPV UPI VTHOG NSE UPO ZE
0.5972222222222222 	Toe gee hy hom _ ou motor present.	 PB VTHOG PDHENP PDHEDP LO ASA NSE NSE ZE
0.5580808080808081 	ÒDaarom kan ek nie uitgepraat raak oor God se genade nie,Ó verduidelik Jannie.	 ZPL PB VTUOM PEENP BS NSE VTHOK SVS NEE UPS NSM BS ZM ZPL BS NSE ZE
0.5260416666666667 	Hy vertel van _ seminaar van die Christelike organisasie Family Foundations International wat hy en sy vrou, Vicky, in 2004 bygewoon het.	 PDHENP NSE SVS LO NSE SVS LB ASA NSE NEE NEE NEE PB PDHENP KN PDVENP BS ZM NEE ZM SVS RS VVHOG VUOT ZE
0.4396551724137931 	Die klem was op elke individu se waarde en identiteit in God en die bou van sterk huwelike en gesinne, en hoe die vyand huwelike aanval om geslagte te vernietig.	 LB NSE VVHOK SVS PO NSE UPS NSE KN NSE SVS NEE KN LB NA SVS ASA NSM KN NSM ZM KN PB LB NSE ASA NSE SVS NSM UPI VTHOG ZE
0.4814814814814815 	ÒEk het besef hoewel ons Christelik grootgeword en kerk toe gegaan het, het ons beslis nie in Goddelike oorwinning geleef nie en daar was _ klomp Ôoop deureÕ in ons grootwordjare waar die vyand die gesag het om verwoesting te saai.	ZPL PEENP VUOT NA KO PEMB NSE VVHOK KN BS PB VVHOO VUOT ZM VUOT PEMP VTHOO BS SVS ASA NA VTHOG UPO KN UXD VVHOK LO ASA ZPR ASA NSM ZPL SVS PEMB NSM PB LB NSE LB NA VTHOG SVS NM UPI VTHOG ZE
0.25 	Onder meer is drank beslis so _ Ôoop deurÕ.Ó	 SVS THBO VTHOK BS VTHOO UPV LO ZPL ASA NSE ZPR ZE ZPR
0.3464285714285714 	Die toekoms lyk rooskleurig.	 LB NA VTHOK ASP ZE
0.3925170068027211 	Naas haar rol as aanbieder van Boer Soek _ Vrou speel Nadia ook in reekse soos Sterlopers en die fliek Mooirivier.	 NEE PDVEB NSE KO NSE SVS ASA NSE LO NSE VTHOG SVS BS SVS NSM UPV NEE KN LB NSE VVHOG ZE
0.4004578754578754 	Verlede maand was sy in Sun City die seremoniemeester by Huisgenootskouspel en ook vroe‘r vanjaar by Skouspel Kaapstad.	 ASA NSE VVHOK PDVENP SVS NEE NEE LB NSE SVS NEE KN BS BS BS SVS NEE NEE ZE
0.32619047619047625 	Tussendeur is sy boonop sangeres.	 NSE VTHOK PDHEB NA NSM ZE
0.2111111111111111 	Ja, die stadmeisie met _ honneursgraad in bemarkingskommunikasie is deesdae oral gelief. 	 NEE ZM LB NSE SVS LO NSE SVS NA VVUOP NSM BS VTHOG ZE 
0.6949134199134199 	ÒEen van die boere, Alec, het aan die begin van die reeks gesê: ÔDis nie te veel gevra om gelukkig te wees nie.Õ 	ZPR THAB UPD LB NSM ZM NEE ZM VUOT SVS LB NA SVS LB NSE VVHOG ZM ZPR NSM BS UPG BS VVHOG SVS BS UPI VTHOK UPO ZE 
0.3416666666666666 	Ek glo dit.	ZPR PEENP VTHOG PDOENP ZE
0.5363756613756614 	ÒJy moet nooit onderskat hoe sterk jy is nie.	ZPL PTENP VTUOM BS VTHOG PB ASA PTENP VVUOP UPO ZE
0.47692307692307695 	Dis so maklik om jouself te beskerm deur die liefde uit te hou.	 NSE BS BS SVS PTEW UPI VTHOG SVS LB NA UPW UPI VTHOG ZE
0.44497354497354497 	As jy seergekry het, moet jy juis jouself vertrou.	 KO PTENP VTHOG VUOT ZM VTUOM PTENP BS PTEW VTHOG ZE
0.4670807453416149 	Ek ken myself nou baie beter en dis hoekom ek soveel respek het vir die wat in die reeks liefde soek,Ó sê sy. 	PEENP VTHOG BS BS THBO BV KN NSE PB PEENP THAO NA VTHOG SVS LB PB SVS LB NSE NA VTHOG ZM ZPL NSE PDHEB ZE Z
0.3329081632653062 	ÒHulle waag _ kans en _ mens kan by die boere en vroue leer.	PR PDMP VTHOG LO NSE KN LO NSE VTUOM SVS LB NSM KN NSM VTHOG ZE
0.375 	Dis wonderlik!	 ASA NSE ZE
