Vlug	NM
met	SVS
oorskot	NSE
van	SVS
54	RS
kom	VTHOG
naweek	NSE
na	SVS
SA	NEE

Nie	BS
al	BS
die	LB
oorskot	NSE
van	SVS
die	LB
81	ASA
Suid-Afrikaners	NSM
wat	PB
in	SVS
die	LB
Nigeriese	ASA
kerkramp	NSE
omgekom	VVHOO
het	VUOT
,	ZM
sal	VTUOM
die	LB
naweek	NSE
gerepatrieer	VVHOG
word	VTUOP
nie	UPO
.	ZE

Slegs	BS
70	RS
van	UPD
die	LB
altesaam	NSE
116	RS
slagoffers	NSM
van	SVS
die	LB
ramp	NSE
twee	THAB
maande	NSM
gelede	BS
is	VTHOK
reeds	BS
positief	BS
geïdentifiseer	VTHOG
.	ZE

Van	SVS
hulle	PDMP
is	VTHOK
54	RS
Suid-Afrikaners	NSM
,	ZM
het	VUOT
Babatunde	NEE
Fashola	NEE
,	ZM
die	LB
goewerneur	NSE
van	SVS
Lagos-provinsie	NSE
in	SVS
Nigerië	NSE
gister	SVS
luidens	BS
'n	LO
verklaring	NSE
gesê	VTHOG
.	ZE

Luli	NEE
Mnguni	NEE
,	ZM
die	LB
Suid-Afrikaanse	ASA
ambassadeur	NSE
in	SVS
Nigerië	NEE
,	ZM
het	VUOT
aan	SVS
Die	LB
Burger	NSE
bevestig	VTHOG
dat	KO
die	LB
identifisering	NA
van	SVS
die	LB
oorskot	NSE
'n	LO
deurlopende	ASA
proses	NSE
is	VTHOK
.	ZE
"	ZPR
Teen	SVS
die	LB
naweek	NSE
sal	VTUOM
daar	UXD
hopelik	BS
nóg	NSE
van	SVS
die	LB
Suid-Afrikaners	NSM
positief	BS
geïdentifiseer	VTHOG
wees	VTUOP
,	ZM
"	ZPL
het	VUOT
hy	PDHENP
gister	SVS
uit	SVS
Lagos	ASA
gesê	NSM
.	ZE

Fashola	NEE
se	UPS
verklaring	NSE
volg	VTHOG
nadat	KO
hy	PDHENP
met	SVS
Jeff	NEE
Radebe	NEE
,	ZM
spesiale	ASA
gesant	NSE
van	SVS
pres	NSM
.	ZE

Jacob	NEE
Zuma	NEE
vir	SVS
die	LB
repatriasie	NSE
,	ZM
vergader	VTHOG
het	VUOT
.	ZE
"	ZPL
Ons	PEMP
sien	VTHOG
geen	THAB
rede	NSE
waarom	PB
julle	PTMP
nie	BS
die	LB
54	RS
lyke	NSM
solank	KO
kan	VTUOM
terugneem	ASA
Suid-Afrika	NEE
toe	PB
nie	BS
,	ZM
"	ZPL
het	VUOT
Fashola	NEE
gesê	NSE
.	ZE
"	ZPR
Julle	NSE
het	VTHOG
my	PEEDP
woord	NSE
–	ZM
julle	PTMP
kan	VTUOM
hulle	PDMP
neem	VTHOG
wanneer	PB
julle	PTMP
gereed	ASP
is	VTHOK
.	ZE

Dit	PDOENP
hang	VTHOO
van	SVS
julle	PTMP
af	SVS
of	KN
julle	PTMP
hulle	PDMP
in	SVS
groepe	NSM
wil	VTUOM
vat	VTHOG
en	KN
of	KO
julle	PTMP
wil	VTUOM
wag	VTHOO
tot	SVS
die	LB
hele	ASA
proses	NSE
afgehandel	VVHOG
is	VVUOP
,	ZM
"	ZPL
het	VUOT
Fashola	NEE
gesê	NSE
.	ZE

Volgens	SVS
hom	PDHEDP
was	VVHOK
die	LB
vergelyking	NSE
van	SVS
DNS	NSM
in	SVS
die	LB
identifisering	NA
'n	LO
lang	ASA
en	KN
ingewikkelde	ASA
proses	NSE
.	ZE

"	ZPL
Dit	PDOENP
was	VVHOK
baie	THBO
moeilik	BS
om	SVS
al	THAO
die	LB
lyke	NSM
in	SVS
die	LB
puin	NSE
van	SVS
die	LB
kerkgebou	NM
te	UPI
herwin	VTHOG
.	ZE

Dit	PDOENP
was	VVHOK
Suid-Afrika	NEE
se	UPS
keuse	NSE
om	SVS
die	LB
DNS	NSE
eerder	BS
in	SVS
Suid-Afrika	NEE
in	SVS
'n	LO
laboratorium	NSE
te	UPI
doen	VTHOG
waar	PB
die	LB
familie	NSE
nader	VTHOG
is	VVUOP
,	ZM
"	ZPL
het	VUOT
hy	PDHENP
gesê	VTHOG
.	ZE

Radebe	NA
het	VTHOG
by	SVS
dieselfde	ASA
geleentheid	NSE
gesê	VTHOG
afgesien	SVS
van	SVS
die	LB
Suid-Afrikaners	NSM
,	ZM
sal	VTUOM
die	LB
oorskot	NSE
van	SVS
drie	THAB
Zimbabwiërs	NEE
en	KN
'n	LO
Kongolees	NSE
ook	BS
die	LB
naweek	NSE
na	SVS
Suid-Afrika	NEE
gebring	VVHOG
word	VTUOP
.	ZE

Hulle	PDMP
sal	VTUOM
vervolgens	BS
onderskeidelik	BS
na	SVS
Harare	NEE
en	KN
na	SVS
Kinshasa	NEE
vervoer	VTHOG
word	VTUOP
waar	PB
hul	PDMB
naasbestaandes	NSM
hulle	PDMP
sal	VTUOM
begrawe	NSM
.	ZE

Volgens	SVS
prof	NSE
.	ZE

John	NEE
Obafunwa	NEE
,	ZM
die	LB
hoofpatoloog	NSE
in	SVS
Lagos	NEE
,	ZM
help	VTHOG
die	LB
laboratorium	NSE
in	SVS
Stellenbosch	NEE
met	SVS
die	LB
identifisering	NA
van	SVS
ál	NSE
116	RS
die	LB
oorledenes	NSM
.	ZE


