Hoog	hoog	hoog	hoog	eksit	hoog	deur								
in	deur	in	van	in	in	in								
die	die	die	die	die	leeg	die	die							
takke	wolke	wolke	wolke	takke	wolke									
flou	jolig	leeg	laf	vol	oorvloed									
van	van	van	van	met	van	vrolik								
die	oormatige	leeg	die	die	alle	die								
vrolikheid	honger	drank	leeg	dag	leeg	dors	moegheid							
behoorlik	dalk	ietwat	taamlik	leeg	leeg									
beskonke	getrek	leeg	gekletter	pret	gedrink									
aansienlik	hoogs	vas	dronk	leeg	erg	goed								
aangeklam	gekonig	aangeklam	dronk	mooi	leeg	leeg								
gesellig	leeg	leeg	leeg	moeg	leeg	warm	aangeklam							
gekuier	opgewek	opgewonde	dielimiet	gerieflik	dronk									
of	of	of	en	en	en									
bloot	bloot	skoon	flou	dit	sommer	dan								
net	baldadig	baie	net	net	leeg	net								
plesierig	leeg	dronk	dronk	uitgeput	leeg	dronk	dronk							
Noem	se	is	noem	noem	noem									
dit	dit	dit	dit	my	dit									
wat	wat	wat	wat	wat	wat	wat								
jy	jy	jy	jy	jy	jy	jy								
wil	wil	wil	wil	wil	wil	wil	wil							
ons	ons	wat	ons	maar	maar									
almal	almal	almal	almal	almal	almal									
weet	glo	weet	weet	weet	weet	weet								
dat	dat	dat	dat	hoe	dat	dat								
dit	dit	dit	dit	dit	dronkbestuur	dit	dit							
lewensgevaarlik	verkeerd	verkeerd	onwettig	verkeerd	gevaarlik									
en	en	en	en	is	en									
teen	teen	teen	buite	leeg	teen	teen								
die	die	die	die	die	die	die								
wet	wet	wet	wet	wet	wet	wet	wet							
is	is	is	is	is	is									
om	om	om	om	om	om									
agter	agter	leeg	met	leeg	agter	onder								
die	jou	die	n	die	die	n								
stuurwiel	stuurwiel	stuurwiel	stuurwiel	kloutjie	stuurwiel	stuurwiel	stuur							
in	in	in	in	in	in									
te	te	te	te	te	te									
klim	klim	leeg	bestuur	leeg	skuif	klim								
as	terwyl	as	as	wanneer	as	as								
jy	jy	jy	jy	mens	jy	jy	nmens							
twee	twee	twee	twee	twee	twee									
rye	rye	rye	rye	maal	rye									
spore	spore	leeg	spore	leeg	spore	spore								
loop	stap	trap	maak	loop	loop	loop								
Nie	nie	ditisnie	nie	disnie	ditgeldnie	nie	leeg							
net	net	net	net	net	net									
vir	vir	vir	vir	vir	vir									
jou	jou	jou	bestuurder	kindere	jouself	jou								
nie	veiligheid	nie	veiligheid	nie	nie	nie								
maar	maar	maar	maar	maar	maar	maar	maar							
ook	ook	ook	ook	ook	ook									
vir	vir	vir	vir	vir	vir									
enige	daardie	die	student	enige	enige	daardie								
iemand	persoon	iemand	mens	iemand	een	bestuurders								
wat	wat	wat	wat	wat	wat	wat	wat							
die	die	die	die	die	die									
pad	pad	pad	pad	pad	kar									
met	met	met	met	met	met	met								
jou	jou	jou	jou	jou	jou	jou								
deel	loop	saamry	deel	stap	loop	deel	stap							
Maak	maak	maak	maak	maak	maak									
nie	nie	nie	nie	nie	nie									
saak	saak	saak	saak	verskil	saak	saak								
hoe	hoe	hoe	hoe	hoe	hoe	hoe								
dapper	leeg	bedrewe	goed	seker	leeg	lonk	behendig							
of	of	en	of	of	of									
behendig	slim	sterk	slim	stapper	braaf									
jy	ander	dit	jy	jy	jy	jy								
mag	mag	mag	kan	kan	mag	probeer								
wees	leeg	voel	wees	klink	leeg	bestuur	wees							
nie	nie	nie	nie	nie	nie									
Daarom	daarom	nou	ons	ons	ons									
bied	kry	kies	is	keeg	bied	bied								
jou	die	jou	leeg	versekering	ons	aan								
n	n	virjou	n	met	n	n	algemene							
bystanddiens	opsie	program	dien	polis	diens									
om	om	om	om	om	om									
jou	jou	jou	jou	altyd	jou	jou								
veilig	veilig	tot	kar	leeg	veilig	motor								
by	by	by	by	by	by	by	by							
die	die	die	die	eie	die									
huis	huis	huis	huis	huis	huis									
te	te	te	te	te	te	te								
kry	besorg	kry	leeg	versorg	kry	kry								
as	en	wanneer	as	om	terwyl	wanneer	as							
die	n	die	die	n	jan									
persentasie	hoeveelheid	hoeveelheid	vlak	vlakke	hoeveelheid									
alkohol	alkohol	alkohol	alkohol	alkohol	alkohol	alkohol								
in	in	in	in	in	in	in								
jou	jou	jou	jou	jou	jou	jou	jou							
bloed	liggaam	bloed	bloed	bloed	bloed									
die	die	die	die	die	die									
wettige	wettige	wettige	die	landstuk	toegelate	wettige								
limiet	voorskrif	perk	presentasie	hoeveelheid	hoeveelheid	limiet								
oorskry	leeg	oorskry	oorskry	oorskry	oorskry	oorskry	oorskry							
en	moet	en	en	het	en									
jy	jy	jy	jy	jy	jy									
dit	maar	nie	moet	dan	dit	dalk								
liefs	liefs	liewer	dan	leeg	liewer	dalk								
nie	nie	nie	nie	nie	nie	nie	nie							
self	waag	nou	self	leeg	self									
op	op	op	op	allen	op									
die	die	die	die	die	die	die								
pad	pad	pad	pad	pad	pad	pad								
moet	te	wil	sal	moet	wil	moet	moet							
waag	wees	waag	waag	leeg	waag									
nie	nie	nie	nie	nie	nie									
sal	sal	sal	sal	wat	sal									
na	na	na	na	vir	na									
jou	jou	jou	jou	missing	jou	jou								
uitgestuur	gestuur	gestuur	gestuur	gestuur	gestuur	gestuur								
word	word	word	word	word	word	word	word							
en	die	en	en	waarvan	en									
sal	sal	sal	sal	sal	sal									
dan	dan	leeg	leeg	missing	dan	dan								
sorg	sorg	sorg	verseker	sorg	sorg	sorg								
jy	jy	jy	jy	jy	jy									
en	en	en	en	by	by									
jou	jou	jou	jou	missing	jou	jou								
kar	metgesel	motor	kar	gesin	voertuig	motor								
uit	leeg	huis	leeg	veilig	leeg	uit	uit							
en	pad	eindelik	gevaar	mondig	leeg									
tuis	uit	tuis	leeg	uit	albei									
veilig	saam	verlig	en	missing	heelhuids	veilig								
en	heel	en	en	en	en	en								
in	in	in	in	in	in	in	in							
een	een	een	een	een	een									
by	by	by	by	missing	by	by								
huis	huis	huis	huis	huis	huis	huis	huis							
aankom	kom	kom	kom	kom	kom									
Jy	die	virseker	jy	dit	dit									
het	het	het	het	missing	geniet	kry								
vir	tot	vir	van	vir	wat	vir	vir							
ritte	dae	eise	watmyhuistoe	persone	ritte									
per	per	per	per	per	n									
maand	persoon	leeg	dag	missing	maand	maand								
nie	sou	nie	nie	nie	nie	nie								
gebruik	gebruik	gebruik	gebruik	gebruik	gebruik	benut	eis							
nie	nie	nie	nie	nie	nie									
word	word	word	word	sal	word									
verbeur	ongebruik	verbeur	verloor	afgeteken	verbeur	gekanseker								
en	en	want	en	en	en	want	want							
dit	opsie	dit	dit	dit	dit									
kan	sal	kan	kan	sal	sal									
nie	nie	nie	dan	missing	nie	nie								
word	word	word	word	word	word	word	word							
na	na	na	na	na	na									
die	die	n	die	die	die									
volgende	volgende	volgende	volgende	missing	volgende	volgende								
maand	maand	maand	maand	gebruik	maand	maand								
nie	nie	nie	nie	nie	nie	nie	nie							
tot	tot	van	van	van	van									
n	n	n	die	missing	n	n								
maksimum	reikwydte	afstand	afstand	afstand	maksimum	limiet								
van	van	van	van	van	van	van	van							
km	motor	km	km	persone	km									
word	word	word	word	word	word									
gedek	gedek	gedek	verleun	missing	verskaf	gedek								
en	perkeer	maar	maar	en	maar	en								
indien	as	indien	as	as	indien	as	indien							
jou	jou	jou	jou	jou	jou									
